😀	face-smiling/grinning-face
🚴🏽‍♀️	person-sport/woman-biking-medium-skin-tone
🚴🏽‍♀	person-sport/woman-biking-medium-skin-tone
🚴🏾‍♀️	person-sport/woman-biking-medium-dark-skin-tone
🚴🏾‍♀	person-sport/woman-biking-medium-dark-skin-tone
🚴🏿‍♀️	person-sport/woman-biking-dark-skin-tone
🚴🏿‍♀	person-sport/woman-biking-dark-skin-tone
🚵	person-sport/person-mountain-biking
🚵🏻	person-sport/person-mountain-biking-light-skin-tone
🚵🏼	person-sport/person-mountain-biking-medium-light-skin-tone
🚵🏽	person-sport/person-mountain-biking-medium-skin-tone
🚵🏾	person-sport/person-mountain-biking-medium-dark-skin-tone
🚵🏿	person-sport/person-mountain-biking-dark-skin-tone
🚵‍♂️	person-sport/man-mountain-biking
🚵‍♂	person-sport/man-mountain-biking
🚵🏻‍♂️	person-sport/man-mountain-biking-light-skin-tone
🚵🏻‍♂	person-sport/man-mountain-biking-light-skin-tone
🚵🏼‍♂️	person-sport/man-mountain-biking-medium-light-skin-tone
🚵🏼‍♂	person-sport/man-mountain-biking-medium-light-skin-tone
🚵🏽‍♂️	person-sport/man-mountain-biking-medium-skin-tone
🚵🏽‍♂	person-sport/man-mountain-biking-medium-skin-tone
🚵🏾‍♂️	person-sport/man-mountain-biking-medium-dark-skin-tone
🚵🏾‍♂	person-sport/man-mountain-biking-medium-dark-skin-tone
🚵🏿‍♂️	person-sport/man-mountain-biking-dark-skin-tone
🚵🏿‍♂	person-sport/man-mountain-biking-dark-skin-tone
🚵‍♀️	person-sport/woman-mountain-biking
🚵‍♀	person-sport/woman-mountain-biking
🚵🏻‍♀️	person-sport/woman-mountain-biking-light-skin-tone
🚵🏻‍♀	person-sport/woman-mountain-biking-light-skin-tone
🚵🏼‍♀️	person-sport/woman-mountain-biking-medium-light-skin-tone
🚵🏼‍♀	person-sport/woman-mountain-biking-medium-light-skin-tone
🚵🏽‍♀️	person-sport/woman-mountain-biking-medium-skin-tone
🚵🏽‍♀	person-sport/woman-mountain-biking-medium-skin-tone
🚵🏾‍♀️	person-sport/woman-mountain-biking-medium-dark-skin-tone
🚵🏾‍♀	person-sport/woman-mountain-biking-medium-dark-skin-tone
🚵🏿‍♀️	person-sport/woman-mountain-biking-dark-skin-tone
🚵🏿‍♀	person-sport/woman-mountain-biking-dark-skin-tone
🤸	person-sport/person-cartwheeling
🤸🏻	person-sport/person-cartwheeling-light-skin-tone
🤸🏼	person-sport/person-cartwheeling-medium-light-skin-tone
🤸🏽	person-sport/person-cartwheeling-medium-skin-tone
🤸🏾	person-sport/person-cartwheeling-medium-dark-skin-tone
🤸🏿	person-sport/person-cartwheeling-dark-skin-tone
🤸‍♂️	person-sport/man-cartwheeling
🤸‍♂	person-sport/man-cartwheeling
🤸🏻‍♂️	person-sport/man-cartwheeling-light-skin-tone
🤸🏻‍♂	person-sport/man-cartwheeling-light-skin-tone
🤸🏼‍♂️	person-sport/man-cartwheeling-medium-light-skin-tone
🤸🏼‍♂	person-sport/man-cartwheeling-medium-light-skin-tone
🤸🏽‍♂️	person-sport/man-cartwheeling-medium-skin-tone
🤸🏽‍♂	person-sport/man-cartwheeling-medium-skin-tone
🤸🏾‍♂️	person-sport/man-cartwheeling-medium-dark-skin-tone
🤸🏾‍♂	person-sport/man-cartwheeling-medium-dark-skin-tone
🤸🏿‍♂️	person-sport/man-cartwheeling-dark-skin-tone
🤸🏿‍♂	person-sport/man-cartwheeling-dark-skin-tone
🤸‍♀️	person-sport/woman-cartwheeling
🤸‍♀	person-sport/woman-cartwheeling
🤸🏻‍♀️	person-sport/woman-cartwheeling-light-skin-tone
🤸🏻‍♀	person-sport/woman-cartwheeling-light-skin-tone
🤸🏼‍♀️	person-sport/woman-cartwheeling-medium-light-skin-tone
🤸🏼‍♀	person-sport/woman-cartwheeling-medium-light-skin-tone
🤸🏽‍♀️	person-sport/woman-cartwheeling-medium-skin-tone
🤸🏽‍♀	person-sport/woman-cartwheeling-medium-skin-tone
🤸🏾‍♀️	person-sport/woman-cartwheeling-medium-dark-skin-tone
🤸🏾‍♀	person-sport/woman-cartwheeling-medium-dark-skin-tone
🤸🏿‍♀️	person-sport/woman-cartwheeling-dark-skin-tone
🤸🏿‍♀	person-sport/woman-cartwheeling-dark-skin-tone
🤼	person-sport/people-wrestling
🤼‍♂️	person-sport/men-wrestling
🤼‍♂	person-sport/men-wrestling
🤼‍♀️	person-sport/women-wrestling
🤼‍♀	person-sport/women-wrestling
🤽	person-sport/person-playing-water-polo
🤽🏻	person-sport/person-playing-water-polo-light-skin-tone
🤽🏼	person-sport/person-playing-water-polo-medium-light-skin-tone
🤽🏽	person-sport/person-playing-water-polo-medium-skin-tone
🤽🏾	person-sport/person-playing-water-polo-medium-dark-skin-tone
🤽🏿	person-sport/person-playing-water-polo-dark-skin-tone
🤽‍♂️	person-sport/man-playing-water-polo
🤽‍♂	person-sport/man-playing-water-polo
🤽🏻‍♂️	person-sport/man-playing-water-polo-light-skin-tone
🤽🏻‍♂	person-sport/man-playing-water-polo-light-skin-tone
🤽🏼‍♂️	person-sport/man-playing-water-polo-medium-light-skin-tone
🤽🏼‍♂	person-sport/man-playing-water-polo-medium-light-skin-tone
🤽🏽‍♂️	person-sport/man-playing-water-polo-medium-skin-tone
🤽🏽‍♂	person-sport/man-playing-water-polo-medium-skin-tone
🤽🏾‍♂️	person-sport/man-playing-water-polo-medium-dark-skin-tone
🤽🏾‍♂	person-sport/man-playing-water-polo-medium-dark-skin-tone
🤽🏿‍♂️	person-sport/man-playing-water-polo-dark-skin-tone
🤽🏿‍♂	person-sport/man-playing-water-polo-dark-skin-tone
🤽‍♀️	person-sport/woman-playing-water-polo
🤽‍♀	person-sport/woman-playing-water-polo
🤽🏻‍♀️	person-sport/woman-playing-water-polo-light-skin-tone
🤽🏻‍♀	person-sport/woman-playing-water-polo-light-skin-tone
🤽🏼‍♀️	person-sport/woman-playing-water-polo-medium-light-skin-tone
🤽🏼‍♀	person-sport/woman-playing-water-polo-medium-light-skin-tone
🤽🏽‍♀️	person-sport/woman-playing-water-polo-medium-skin-tone
🤽🏽‍♀	person-sport/woman-playing-water-polo-medium-skin-tone
🤽🏾‍♀️	person-sport/woman-playing-water-polo-medium-dark-skin-tone
🤽🏾‍♀	person-sport/woman-playing-water-polo-medium-dark-skin-tone
🤽🏿‍♀️	person-sport/woman-playing-water-polo-dark-skin-tone
🤽🏿‍♀	person-sport/woman-playing-water-polo-dark-skin-tone
🤾	person-sport/person-playing-handball
🤾🏻	person-sport/person-playing-handball-light-skin-tone
🤾🏼	person-sport/person-playing-handball-medium-light-skin-tone
🤾🏽	person-sport/person-playing-handball-medium-skin-tone
🤾🏾	person-sport/person-playing-handball-medium-dark-skin-tone
🤾🏿	person-sport/person-playing-handball-dark-skin-tone
🤾‍♂️	person-sport/man-playing-handball
🤾‍♂	person-sport/man-playing-handball
🤾🏻‍♂️	person-sport/man-playing-handball-light-skin-tone
🤾🏻‍♂	person-sport/man-playing-handball-light-skin-tone
🤾🏼‍♂️	person-sport/man-playing-handball-medium-light-skin-tone
🤾🏼‍♂	person-sport/man-playing-handball-medium-light-skin-tone
🤾🏽‍♂️	person-sport/man-playing-handball-medium-skin-tone
🤾🏽‍♂	person-sport/man-playing-handball-medium-skin-tone
🤾🏾‍♂️	person-sport/man-playing-handball-medium-dark-skin-tone
🤾🏾‍♂	person-sport/man-playing-handball-medium-dark-skin-tone
🤾🏿‍♂️	person-sport/man-playing-handball-dark-skin-tone
🤾🏿‍♂	person-sport/man-playing-handball-dark-skin-tone
🤾‍♀️	person-sport/woman-playing-handball
🤾‍♀	person-sport/woman-playing-handball
🤾🏻‍♀️	person-sport/woman-playing-handball-light-skin-tone
🤾🏻‍♀	person-sport/woman-playing-handball-light-skin-tone
🤾🏼‍♀️	person-sport/woman-playing-handball-medium-light-skin-tone
🤾🏼‍♀	person-sport/woman-playing-handball-medium-light-skin-tone
🤾🏽‍♀️	person-sport/woman-playing-handball-medium-skin-tone
🤾🏽‍♀	person-sport/woman-playing-handball-medium-skin-tone
🤾🏾‍♀️	person-sport/woman-playing-handball-medium-dark-skin-tone
🤾🏾‍♀	person-sport/woman-playing-handball-medium-dark-skin-tone
🤾🏿‍♀️	person-sport/woman-playing-handball-dark-skin-tone
🤾🏿‍♀	person-sport/woman-playing-handball-dark-skin-tone
🤹	person-sport/person-juggling
🤹🏻	person-sport/person-juggling-light-skin-tone
🤹🏼	person-sport/person-juggling-medium-light-skin-tone
🤹🏽	person-sport/person-juggling-medium-skin-tone
🤹🏾	person-sport/person-juggling-medium-dark-skin-tone
🤹🏿	person-sport/person-juggling-dark-skin-tone
🤹‍♂️	person-sport/man-juggling
🤹‍♂	person-sport/man-juggling
🤹🏻‍♂️	person-sport/man-juggling-light-skin-tone
🤹🏻‍♂	person-sport/man-juggling-light-skin-tone
🤹🏼‍♂️	person-sport/man-juggling-medium-light-skin-tone
🤹🏼‍♂	person-sport/man-juggling-medium-light-skin-tone
🤹🏽‍♂️	person-sport/man-juggling-medium-skin-tone
🤹🏽‍♂	person-sport/man-juggling-medium-skin-tone
🤹🏾‍♂️	person-sport/man-juggling-medium-dark-skin-tone
🤹🏾‍♂	person-sport/man-juggling-medium-dark-skin-tone
🤹🏿‍♂️	person-sport/man-juggling-dark-skin-tone
🤹🏿‍♂	person-sport/man-juggling-dark-skin-tone
🤹‍♀️	person-sport/woman-juggling
🤹‍♀	person-sport/woman-juggling
🤹🏻‍♀️	person-sport/woman-juggling-light-skin-tone
🤹🏻‍♀	person-sport/woman-juggling-light-skin-tone
🤹🏼‍♀️	person-sport/woman-juggling-medium-light-skin-tone
🤹🏼‍♀	person-sport/woman-juggling-medium-light-skin-tone
🤹🏽‍♀️	person-sport/woman-juggling-medium-skin-tone
🤹🏽‍♀	person-sport/woman-juggling-medium-skin-tone
🤹🏾‍♀️	person-sport/woman-juggling-medium-dark-skin-tone
🤹🏾‍♀	person-sport/woman-juggling-medium-dark-skin-tone
🤹🏿‍♀️	person-sport/woman-juggling-dark-skin-tone
🤹🏿‍♀	person-sport/woman-juggling-dark-skin-tone
🧘	person-resting/person-in-lotus-position
🧘🏻	person-resting/person-in-lotus-position-light-skin-tone
🧘🏼	person-resting/person-in-lotus-position-medium-light-skin-tone
🧘🏽	person-resting/person-in-lotus-position-medium-skin-tone
🧘🏾	person-resting/person-in-lotus-position-medium-dark-skin-tone
🧘🏿	person-resting/person-in-lotus-position-dark-skin-tone
🧘‍♂️	person-resting/man-in-lotus-position
🧘‍♂	person-resting/man-in-lotus-position
🧘🏻‍♂️	person-resting/man-in-lotus-position-light-skin-tone
🧘🏻‍♂	person-resting/man-in-lotus-position-light-skin-tone
🧘🏼‍♂️	person-resting/man-in-lotus-position-medium-light-skin-tone
🧘🏼‍♂	person-resting/man-in-lotus-position-medium-light-skin-tone
🧘🏽‍♂️	person-resting/man-in-lotus-position-medium-skin-tone
🧘🏽‍♂	person-resting/man-in-lotus-position-medium-skin-tone
🧘🏾‍♂️	person-resting/man-in-lotus-position-medium-dark-skin-tone
🧘🏾‍♂	person-resting/man-in-lotus-position-medium-dark-skin-tone
🧘🏿‍♂️	person-resting/man-in-lotus-position-dark-skin-tone
🧘🏿‍♂	person-resting/man-in-lotus-position-dark-skin-tone
🧘‍♀️	person-resting/woman-in-lotus-position
🧘‍♀	person-resting/woman-in-lotus-position
🧘🏻‍♀️	person-resting/woman-in-lotus-position-light-skin-tone
🧘🏻‍♀	person-resting/woman-in-lotus-position-light-skin-tone
🧘🏼‍♀️	person-resting/woman-in-lotus-position-medium-light-skin-tone
🧘🏼‍♀	person-resting/woman-in-lotus-position-medium-light-skin-tone
🧘🏽‍♀️	person-resting/woman-in-lotus-position-medium-skin-tone
🧘🏽‍♀	person-resting/woman-in-lotus-position-medium-skin-tone
🧘🏾‍♀️	person-resting/woman-in-lotus-position-medium-dark-skin-tone
🧘🏾‍♀	person-resting/woman-in-lotus-position-medium-dark-skin-tone
🧘🏿‍♀️	person-resting/woman-in-lotus-position-dark-skin-tone
🧘🏿‍♀	person-resting/woman-in-lotus-position-dark-skin-tone
🛀	person-resting/person-taking-bath
🛀🏻	person-resting/person-taking-bath-light-skin-tone
🛀🏼	person-resting/person-taking-bath-medium-light-skin-tone
🛀🏽	person-resting/person-taking-bath-medium-skin-tone
🛀🏾	person-resting/person-taking-bath-medium-dark-skin-tone
🛀🏿	person-resting/person-taking-bath-dark-skin-tone
🛌	person-resting/person-in-bed
🛌🏻	person-resting/person-in-bed-light-skin-tone
🛌🏼	person-resting/person-in-bed-medium-light-skin-tone
🛌🏽	person-resting/person-in-bed-medium-skin-tone
🛌🏾	person-resting/person-in-bed-medium-dark-skin-tone
🛌🏿	person-resting/person-in-bed-dark-skin-tone
🧑‍🤝‍🧑	family/people-holding-hands
🧑🏻‍🤝‍🧑🏻	family/people-holding-hands-light-skin-tone
🧑🏻‍🤝‍🧑🏼	family/people-holding-hands-light-skin-tone-medium-light-skin-tone
🧑🏻‍🤝‍🧑🏽	family/people-holding-hands-light-skin-tone-medium-skin-tone
🧑🏻‍🤝‍🧑🏾	family/people-holding-hands-light-skin-tone-medium-dark-skin-tone
🧑🏻‍🤝‍🧑🏿	family/people-holding-hands-light-skin-tone-dark-skin-tone
🧑🏼‍🤝‍🧑🏻	family/people-holding-hands-medium-light-skin-tone-light-skin-tone
🧑🏼‍🤝‍🧑🏼	family/people-holding-hands-medium-light-skin-tone
🧑🏼‍🤝‍🧑🏽	family/people-holding-hands-medium-light-skin-tone-medium-skin-tone
🧑🏼‍🤝‍🧑🏾	family/people-holding-hands-medium-light-skin-tone-medium-dark-skin-tone
🧑🏼‍🤝‍🧑🏿	family/people-holding-hands-medium-light-skin-tone-dark-skin-tone
🧑🏽‍🤝‍🧑🏻	family/people-holding-hands-medium-skin-tone-light-skin-tone
🧑🏽‍🤝‍🧑🏼	family/people-holding-hands-medium-skin-tone-medium-light-skin-tone
🧑🏽‍🤝‍🧑🏽	family/people-holding-hands-medium-skin-tone
🧑🏽‍🤝‍🧑🏾	family/people-holding-hands-medium-skin-tone-medium-dark-skin-tone
🧑🏽‍🤝‍🧑🏿	family/people-holding-hands-medium-skin-tone-dark-skin-tone
🧑🏾‍🤝‍🧑🏻	family/people-holding-hands-medium-dark-skin-tone-light-skin-tone
🧑🏾‍🤝‍🧑🏼	family/people-holding-hands-medium-dark-skin-tone-medium-light-skin-tone
🧑🏾‍🤝‍🧑🏽	family/people-holding-hands-medium-dark-skin-tone-medium-skin-tone
🧑🏾‍🤝‍🧑🏾	family/people-holding-hands-medium-dark-skin-tone
🧑🏾‍🤝‍🧑🏿	family/people-holding-hands-medium-dark-skin-tone-dark-skin-tone
🧑🏿‍🤝‍🧑🏻	family/people-holding-hands-dark-skin-tone-light-skin-tone
🧑🏿‍🤝‍🧑🏼	family/people-holding-hands-dark-skin-tone-medium-light-skin-tone
🧑🏿‍🤝‍🧑🏽	family/people-holding-hands-dark-skin-tone-medium-skin-tone
🧑🏿‍🤝‍🧑🏾	family/people-holding-hands-dark-skin-tone-medium-dark-skin-tone
🧑🏿‍🤝‍🧑🏿	family/people-holding-hands-dark-skin-tone
👭	family/women-holding-hands
👭🏻	family/women-holding-hands-light-skin-tone
👩🏻‍🤝‍👩🏼	family/women-holding-hands-light-skin-tone-medium-light-skin-tone
👩🏻‍🤝‍👩🏽	family/women-holding-hands-light-skin-tone-medium-skin-tone
👩🏻‍🤝‍👩🏾	family/women-holding-hands-light-skin-tone-medium-dark-skin-tone
👩🏻‍🤝‍👩🏿	family/women-holding-hands-light-skin-tone-dark-skin-tone
👩🏼‍🤝‍👩🏻	family/women-holding-hands-medium-light-skin-tone-light-skin-tone
👭🏼	family/women-holding-hands-medium-light-skin-tone
👩🏼‍🤝‍👩🏽	family/women-holding-hands-medium-light-skin-tone-medium-skin-tone
👩🏼‍🤝‍👩🏾	family/women-holding-hands-medium-light-skin-tone-medium-dark-skin-tone
👩🏼‍🤝‍👩🏿	family/women-holding-hands-medium-light-skin-tone-dark-skin-tone
👩🏽‍🤝‍👩🏻	family/women-holding-hands-medium-skin-tone-light-skin-tone
👩🏽‍🤝‍👩🏼	family/women-holding-hands-medium-skin-tone-medium-light-skin-tone
👭🏽	family/women-holding-hands-medium-skin-tone
👩🏽‍🤝‍👩🏾	family/women-holding-hands-medium-skin-tone-medium-dark-skin-tone
👩🏽‍🤝‍👩🏿	family/women-holding-hands-medium-skin-tone-dark-skin-tone
👩🏾‍🤝‍👩🏻	family/women-holding-hands-medium-dark-skin-tone-light-skin-tone
👩🏾‍🤝‍👩🏼	family/women-holding-hands-medium-dark-skin-tone-medium-light-skin-tone
👩🏾‍🤝‍👩🏽	family/women-holding-hands-medium-dark-skin-tone-medium-skin-tone
👭🏾	family/women-holding-hands-medium-dark-skin-tone
👩🏾‍🤝‍👩🏿	family/women-holding-hands-medium-dark-skin-tone-dark-skin-tone
👩🏿‍🤝‍👩🏻	family/women-holding-hands-dark-skin-tone-light-skin-tone
👩🏿‍🤝‍👩🏼	family/women-holding-hands-dark-skin-tone-medium-light-skin-tone
👩🏿‍🤝‍👩🏽	family/women-holding-hands-dark-skin-tone-medium-skin-tone
👩🏿‍🤝‍👩🏾	family/women-holding-hands-dark-skin-tone-medium-dark-skin-tone
👭🏿	family/women-holding-hands-dark-skin-tone
👫	family/woman-and-man-holding-hands
👫🏻	family/woman-and-man-holding-hands-light-skin-tone
👩🏻‍🤝‍👨🏼	family/woman-and-man-holding-hands-light-skin-tone-medium-light-skin-tone
